image_name,component_name,matched_item,nutrient_name,amount,unit
6.jpg,Bread,"bread, white, commercially prepared",k,297.7,mg
6.jpg,Bread,"bread, white, commercially prepared",riboflavin,0.39,mg
6.jpg,Bread,"bread, white, commercially prepared",se,38.25,µg
6.jpg,Bread,"bread, white, commercially prepared",na,878.5,mg
6.jpg,Bread,"bread, white, commercially prepared",thiamin,0.51,mg
6.jpg,Bread,"bread, white, commercially prepared",total fat (nlea),18.31,g
6.jpg,Bread,"bread, white, commercially prepared",vitamin b-6,0.13,mg
6.jpg,Bread,"bread, white, commercially prepared",zn,3.59,mg
6.jpg,Cheese,"cheese, swiss",betaine,0.05,mg
6.jpg,Cheese,"cheese, swiss",ca,445.0,mg
6.jpg,Cheese,"cheese, swiss",alpha,0.07,mg
6.jpg,Cheese,"cheese, swiss",beta,0.01,mg
6.jpg,Cheese,"cheese, swiss",cholesterol,46.5,mg
6.jpg,Cheese,"cheese, swiss",free,1.65,mg
6.jpg,Cheese,"cheese, swiss",from phosphocholine,0.05,mg
6.jpg,Cheese,"cheese, swiss",from phosphotidyl choline,3.0,mg
6.jpg,Cheese,"cheese, swiss",from sphingomyelin,2.2,mg
6.jpg,Cheese,"cheese, swiss",total,4.5,µg
6.jpg,Cheese,"cheese, swiss",cu,0.02,mg
6.jpg,Cheese,"cheese, swiss",fe,0.07,mg
6.jpg,Cheese,"cheese, swiss",lutein + zeaxanthin,4.0,µg
6.jpg,Cheese,"cheese, swiss",lycopene,0.5,µg
6.jpg,Cheese,"cheese, swiss",mg,16.7,mg
6.jpg,Cheese,"cheese, swiss",mn,0.01,mg
6.jpg,Cheese,"cheese, swiss",niacin,0.03,mg
6.jpg,Cheese,"cheese, swiss",pantothenic acid,0.18,mg
6.jpg,Cheese,"cheese, swiss",p,287.0,mg
6.jpg,Cheese,"cheese, swiss",k,35.5,mg
6.jpg,Cheese,"cheese, swiss",retinol,143.5,µg
6.jpg,Cheese,"cheese, swiss",riboflavin,0.15,mg
6.jpg,Cheese,"cheese, swiss",se,15.05,µg
6.jpg,Cheese,"cheese, swiss",na,92.5,mg
6.jpg,Cheese,"cheese, swiss",thiamin,0.01,mg
6.jpg,Cheese,"cheese, swiss",gamma,0.04,mg
6.jpg,Cheese,"cheese, swiss",total fat (nlea),13.8,g
6.jpg,Cheese,"cheese, swiss",rae,146.0,µg
6.jpg,Cheese,"cheese, swiss",vitamin b-12,1.51,µg
6.jpg,Cheese,"cheese, swiss",vitamin b-6,0.04,mg
6.jpg,Cheese,"cheese, swiss",vitamin e (alpha-tocopherol),0.3,mg
6.jpg,Cheese,"cheese, swiss",vitamin k (menaquinone-4),3.15,µg
6.jpg,Cheese,"cheese, swiss",vitamin k (phylloquinone),0.7,µg
6.jpg,Cheese,"cheese, swiss",zn,2.19,mg
6.jpg,Ham,"ham, sliced, restaurant",ca,1.8,mg
6.jpg,Ham,"ham, sliced, restaurant",cu,0.01,mg
6.jpg,Ham,"ham, sliced, restaurant",glucose,0.54,g
6.jpg,Ham,"ham, sliced, restaurant",fe,0.26,mg
6.jpg,Ham,"ham, sliced, restaurant",mg,6.09,mg
6.jpg,Ham,"ham, sliced, restaurant",mn,0.0,mg
6.jpg,Ham,"ham, sliced, restaurant",p,73.8,mg
6.jpg,Ham,"ham, sliced, restaurant",k,145.2,mg
6.jpg,Ham,"ham, sliced, restaurant",na,309.0,mg
6.jpg,Ham,"ham, sliced, restaurant",sucrose,0.12,g
6.jpg,Ham,"ham, sliced, restaurant",total fat (nlea),1.06,g
6.jpg,Ham,"ham, sliced, restaurant",zn,0.53,mg
2.jpg,Cabbage Roll,"cabbage, red, raw",ca,256.57,mg
2.jpg,Cabbage Roll,"cabbage, red, raw",cu,0.18,mg
2.jpg,Cabbage Roll,"cabbage, red, raw",mg,74.3,mg
2.jpg,Cabbage Roll,"cabbage, red, raw",mn,1.04,mg
2.jpg,Cabbage Roll,"cabbage, red, raw",mo,20.55,µg
2.jpg,Cabbage Roll,"cabbage, red, raw",p,309.31,mg
2.jpg,Cabbage Roll,"cabbage, red, raw",k,1262.35,mg
2.jpg,Cabbage Roll,"cabbage, red, raw",na,209.82,mg
2.jpg,Cabbage Roll,"cabbage, red, raw",vitamin b-6,0.59,mg
2.jpg,Cabbage Roll,"cabbage, red, raw",total ascorbic acid,129.35,mg
2.jpg,Cabbage Roll,"cabbage, red, raw",vitamin k (phylloquinone),72.9,µg
2.jpg,Cabbage Roll,"cabbage, red, raw",zn,1.78,mg
2.jpg,Potatoes,"potatoes, red, without skin, raw",ca,5.13,mg
2.jpg,Potatoes,"potatoes, red, without skin, raw",cu,0.09,mg
2.jpg,Potatoes,"potatoes, red, without skin, raw",fructose,3.52,g
2.jpg,Potatoes,"potatoes, red, without skin, raw",glucose,1.67,g
2.jpg,Potatoes,"potatoes, red, without skin, raw",high molecular weight dietary fiber (hmwdf),12.9,g
2.jpg,Potatoes,"potatoes, red, without skin, raw",fe,1.51,mg
2.jpg,Potatoes,"potatoes, red, without skin, raw",low molecular weight dietary fiber (lmwdf),0.89,g
2.jpg,Potatoes,"potatoes, red, without skin, raw",mg,23.6,mg
2.jpg,Potatoes,"potatoes, red, without skin, raw",mn,0.17,mg
2.jpg,Potatoes,"potatoes, red, without skin, raw",mo,7.41,µg
2.jpg,Potatoes,"potatoes, red, without skin, raw",niacin,3.17,mg
2.jpg,Potatoes,"potatoes, red, without skin, raw",p,55.6,mg
2.jpg,Potatoes,"potatoes, red, without skin, raw",k,472.0,mg
2.jpg,Potatoes,"potatoes, red, without skin, raw",na,2.86,mg
2.jpg,Potatoes,"potatoes, red, without skin, raw",sucrose,7.21,g
2.jpg,Potatoes,"potatoes, red, without skin, raw",thiamin,0.22,mg
2.jpg,Potatoes,"potatoes, red, without skin, raw",total dietary fiber (aoac 2011.25),13.8,g
2.jpg,Potatoes,"potatoes, red, without skin, raw",vitamin b-6,0.14,mg
2.jpg,Potatoes,"potatoes, red, without skin, raw",total ascorbic acid,21.3,mg
2.jpg,Potatoes,"potatoes, red, without skin, raw",vitamin k (phylloquinone),1.1,µg
2.jpg,Potatoes,"potatoes, red, without skin, raw",zn,0.39,mg
2.jpg,Cabbage,"cabbage, red, raw",ca,15.5,mg
2.jpg,Cabbage,"cabbage, red, raw",cu,0.0,mg
2.jpg,Cabbage,"cabbage, red, raw",mg,6.65,mg
2.jpg,Cabbage,"cabbage, red, raw",mn,0.15,mg
2.jpg,Cabbage,"cabbage, red, raw",mo,3.0,µg
2.jpg,Cabbage,"cabbage, red, raw",p,17.9,mg
2.jpg,Cabbage,"cabbage, red, raw",k,134.5,mg
2.jpg,Cabbage,"cabbage, red, raw",na,5.85,mg
2.jpg,Cabbage,"cabbage, red, raw",vitamin b-6,0.09,mg
2.jpg,Cabbage,"cabbage, red, raw",total ascorbic acid,26.95,mg
2.jpg,Cabbage,"cabbage, red, raw",vitamin k (phylloquinone),16.15,µg
2.jpg,Cabbage,"cabbage, red, raw",zn,0.12,mg
2.jpg,Cucumber,"cucumber, with peel, raw",biotin,0.29,µg
2.jpg,Cucumber,"cucumber, with peel, raw",ca,4.89,mg
2.jpg,Cucumber,"cucumber, with peel, raw",cu,0.02,mg
2.jpg,Cucumber,"cucumber, with peel, raw",mg,3.03,mg
2.jpg,Cucumber,"cucumber, with peel, raw",mn,0.03,mg
2.jpg,Cucumber,"cucumber, with peel, raw",mo,1.12,µg
2.jpg,Cucumber,"cucumber, with peel, raw",p,6.96,mg
2.jpg,Cucumber,"cucumber, with peel, raw",k,51.0,mg
2.jpg,Cucumber,"cucumber, with peel, raw",na,0.46,mg
2.jpg,Cucumber,"cucumber, with peel, raw",vitamin k (phylloquinone),7.2,µg
2.jpg,Cucumber,"cucumber, with peel, raw",zn,0.06,mg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",ca,121.25,mg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",beta,2.5,µg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",cholesterol,5.0,mg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",cu,0.03,mg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",total dietary,1.44,g
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",total,25.0,µg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",fructose,2.61,g
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",galactose,0.65,g
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",glucose,1.05,g
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",fe,0.11,mg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",lactose,3.09,g
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",lutein + zeaxanthin,5.0,µg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",mg,13.0,mg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",mn,0.04,mg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",niacin,0.26,mg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",pantothenic acid,0.62,mg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",p,141.25,mg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",k,166.25,mg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",riboflavin,0.38,mg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",se,19.21,µg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",na,40.0,mg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",sucrose,6.95,g
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",total fat (nlea),1.22,g
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",vitamin b-12,0.56,µg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",vitamin b-6,0.06,mg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",total ascorbic acid,0.25,mg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",vitamin d (d2 + d3),1.25,µg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",international units,50.0,iu
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",vitamin d3 (cholecalciferol),1.25,µg
2.jpg,Yogurt Dessert,"yogurt, greek, strawberry, nonfat",zn,0.58,mg
2.jpg,Bread Roll,"bread, white, commercially prepared",ca,63.3,mg
2.jpg,Bread Roll,"bread, white, commercially prepared",cu,0.04,mg
2.jpg,Bread Roll,"bread, white, commercially prepared",total dietary,0.69,g
2.jpg,Bread Roll,"bread, white, commercially prepared",fructose,0.68,g
2.jpg,Bread Roll,"bread, white, commercially prepared",glucose,0.43,g
2.jpg,Bread Roll,"bread, white, commercially prepared",fe,1.01,mg
2.jpg,Bread Roll,"bread, white, commercially prepared",lactose,0.02,g
2.jpg,Bread Roll,"bread, white, commercially prepared",mg,8.07,mg
2.jpg,Bread Roll,"bread, white, commercially prepared",maltose,0.47,g
2.jpg,Bread Roll,"bread, white, commercially prepared",mn,0.19,mg
2.jpg,Bread Roll,"bread, white, commercially prepared",niacin,1.43,mg
2.jpg,Bread Roll,"bread, white, commercially prepared",pantothenic acid,0.16,mg
2.jpg,Bread Roll,"bread, white, commercially prepared",p,33.9,mg
2.jpg,Bread Roll,"bread, white, commercially prepared",k,35.1,mg
2.jpg,Bread Roll,"bread, white, commercially prepared",riboflavin,0.07,mg
2.jpg,Bread Roll,"bread, white, commercially prepared",se,6.96,µg
2.jpg,Bread Roll,"bread, white, commercially prepared",na,143.1,mg
2.jpg,Bread Roll,"bread, white, commercially prepared",thiamin,0.15,mg
2.jpg,Bread Roll,"bread, white, commercially prepared",total fat (nlea),1.03,g
2.jpg,Bread Roll,"bread, white, commercially prepared",vitamin b-6,0.03,mg
2.jpg,Bread Roll,"bread, white, commercially prepared",zn,0.26,mg
1.jpg,fish fillet,"fish, haddock, raw",ca,222.5,mg
1.jpg,fish fillet,"fish, haddock, raw",cholesterol,68.18,mg
1.jpg,fish fillet,"fish, haddock, raw",cu,0.1,mg
1.jpg,fish fillet,"fish, haddock, raw",fe,0.75,mg
1.jpg,fish fillet,"fish, haddock, raw",mg,56.59,mg
1.jpg,fish fillet,"fish, haddock, raw",mn,0.16,mg
1.jpg,fish fillet,"fish, haddock, raw",niacin,4.87,mg
1.jpg,fish fillet,"fish, haddock, raw",pantothenic acid,0.57,mg
1.jpg,fish fillet,"fish, haddock, raw",p,436.4,mg
1.jpg,fish fillet,"fish, haddock, raw",k,798.7,mg
1.jpg,fish fillet,"fish, haddock, raw",riboflavin,0.14,mg
1.jpg,fish fillet,"fish, haddock, raw",se,31.71,µg
1.jpg,fish fillet,"fish, haddock, raw",na,586.35,mg
1.jpg,fish fillet,"fish, haddock, raw",thiamin,0.06,mg
1.jpg,fish fillet,"fish, haddock, raw",total fat (nlea),0.38,g
1.jpg,fish fillet,"fish, haddock, raw",vitamin b-12,2.2,µg
1.jpg,fish fillet,"fish, haddock, raw",vitamin b-6,0.44,mg
1.jpg,fish fillet,"fish, haddock, raw",vitamin d (d2 + d3),0.82,µg
1.jpg,fish fillet,"fish, haddock, raw",international units,30.28,iu
1.jpg,fish fillet,"fish, haddock, raw",vitamin d3 (cholecalciferol),0.82,µg
1.jpg,fish fillet,"fish, haddock, raw",vitamin e (alpha-tocopherol),0.78,mg
1.jpg,fish fillet,"fish, haddock, raw",zn,1.25,mg
1.jpg,carrots,"carrots, baby, raw",biotin,1.2,µg
1.jpg,carrots,"carrots, baby, raw",ca,21.1,mg
1.jpg,carrots,"carrots, baby, raw",cu,0.02,mg
1.jpg,carrots,"carrots, baby, raw",total dietary,2.15,g
1.jpg,carrots,"carrots, baby, raw",total,23.6,µg
1.jpg,carrots,"carrots, baby, raw",fe,0.04,mg
